epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1.03036,0.66022,3.96596,0.97555,0.0043,0.9375,0.19879,0.18647,0.26164,3.23412,0.81998,0.00017493,5.831e-05,0.00017493,5.831e-05,0.00017493,5.831e-05,0.00017493,5.831e-05
2,1.61767,0.60412,3.93702,0.97212,0.00456,0.875,0.11425,0.10857,0.27492,3.2372,0.82284,0.000371139,0.000123713,0.000371139,0.000123713,0.000371139,0.000123713,0.000371139,0.000123713
3,2.16007,0.51092,3.80802,0.93685,0.00438,0.875,0.15537,0.14543,0.27945,3.2383,0.82369,0.00056339,0.000187797,0.00056339,0.000187797,0.00056339,0.000187797,0.00056339,0.000187797
4,2.71082,0.50026,3.85418,0.88513,0.00456,0.9375,0.17191,0.15708,0.28926,3.23851,0.82299,0.000751682,0.000250561,0.000751682,0.000250561,0.000751682,0.000250561,0.000751682,0.000250561
5,3.21979,0.51271,3.73603,0.92076,0.00567,1,0.17133,0.15939,0.29745,3.23451,0.82145,0.000936015,0.000312005,0.000936015,0.000312005,0.000936015,0.000312005,0.000936015,0.000312005
6,3.715,0.44451,3.73672,0.90279,0.00568,1,0.19836,0.18747,0.30707,3.22451,0.82067,0.00111639,0.00037213,0.00111639,0.00037213,0.00111639,0.00037213,0.00111639,0.00037213
7,4.18912,0.48459,3.65864,0.91094,0.00566,1,0.28818,0.27407,0.32097,3.19873,0.81912,0.00129281,0.000430936,0.00129281,0.000430936,0.00129281,0.000430936,0.00129281,0.000430936
8,4.62164,0.44263,3.62779,0.87314,0.00516,1,0.35503,0.33253,0.32783,3.17144,0.81981,0.00146527,0.000488422,0.00146527,0.000488422,0.00146527,0.000488422,0.00146527,0.000488422
9,5.23186,0.42555,3.5196,0.88533,0.00472,1,0.38965,0.36009,0.34132,3.08255,0.81522,0.00163377,0.000544589,0.00163377,0.000544589,0.00163377,0.000544589,0.00163377,0.000544589
10,5.67782,0.49188,3.62164,0.92385,0.00427,1,0.37322,0.34438,0.34973,3.00028,0.81599,0.00179831,0.000599436,0.00179831,0.000599436,0.00179831,0.000599436,0.00179831,0.000599436
11,6.10801,0.48241,3.52168,0.90833,0.00417,1,0.40363,0.37667,0.33996,2.8788,0.81759,0.00195889,0.000652964,0.00195889,0.000652964,0.00195889,0.000652964,0.00195889,0.000652964
12,6.55796,0.46243,3.33258,0.91533,0.00412,1,0.44503,0.4051,0.35082,2.74014,0.82714,0.00211552,0.000705172,0.00211552,0.000705172,0.00211552,0.000705172,0.00211552,0.000705172
13,6.99039,0.45817,3.41159,0.90375,0.94469,0.18059,0.45836,0.41588,0.3631,2.54073,0.83964,0.00220212,0.00073404,0.00220212,0.00073404,0.00220212,0.00073404,0.00220212,0.00073404
14,7.43946,0.53571,3.23545,0.91697,0.61085,0.28791,0.4752,0.43584,0.37642,2.34816,0.84624,0.00217738,0.000725793,0.00217738,0.000725793,0.00217738,0.000725793,0.00217738,0.000725793
15,7.88864,0.42036,3.16853,0.87991,0.37852,0.49294,0.48416,0.45805,0.37803,2.15717,0.84549,0.00215264,0.000717546,0.00215264,0.000717546,0.00215264,0.000717546,0.00215264,0.000717546
16,8.32199,0.4568,3.22413,0.89632,0.41641,0.47751,0.56998,0.54225,0.37369,2.0126,0.84618,0.0021279,0.000709299,0.0021279,0.000709299,0.0021279,0.000709299,0.0021279,0.000709299
17,8.87819,0.41901,3.24048,0.90023,0.41601,0.54383,0.59921,0.56904,0.36061,1.90774,0.84576,0.00210316,0.000701053,0.00210316,0.000701053,0.00210316,0.000701053,0.00210316,0.000701053
18,9.30202,0.44984,3.02448,0.89998,0.39203,0.71847,0.63326,0.60477,0.36785,1.88147,0.84688,0.00207842,0.000692806,0.00207842,0.000692806,0.00207842,0.000692806,0.00207842,0.000692806
19,9.74279,0.53105,3.12776,0.92885,0.37294,0.58163,0.63089,0.5968,0.3873,1.89017,0.85209,0.00205368,0.000684559,0.00205368,0.000684559,0.00205368,0.000684559,0.00205368,0.000684559
20,10.1817,0.46484,2.98553,0.91711,0.41499,0.5625,0.68086,0.6416,0.3972,1.9097,0.86063,0.00202894,0.000676313,0.00202894,0.000676313,0.00202894,0.000676313,0.00202894,0.000676313
21,10.6137,0.47897,2.95183,0.92346,0.41462,0.6377,0.68993,0.66917,0.35886,1.93883,0.85202,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066,0.0020042,0.000668066
22,11.0546,0.41648,2.76562,0.87555,0.41573,0.68528,0.69307,0.6723,0.34958,1.9078,0.86133,0.00197946,0.000659819,0.00197946,0.000659819,0.00197946,0.000659819,0.00197946,0.000659819
23,11.4934,0.43128,2.84507,0.91607,0.32366,0.8539,0.69594,0.67518,0.34649,1.87506,0.85562,0.00195472,0.000651573,0.00195472,0.000651573,0.00195472,0.000651573,0.00195472,0.000651573
24,11.9256,0.40559,2.65206,0.85718,0.44456,0.7766,0.75109,0.72825,0.35321,1.77138,0.85801,0.00192998,0.000643326,0.00192998,0.000643326,0.00192998,0.000643326,0.00192998,0.000643326
25,12.3699,0.45048,2.5497,0.92007,0.40989,0.72633,0.77637,0.74109,0.37296,1.66454,0.87126,0.00190524,0.000635079,0.00190524,0.000635079,0.00190524,0.000635079,0.00190524,0.000635079
26,12.9094,0.42583,2.54229,0.87543,0.4687,0.9375,0.80281,0.76595,0.38226,1.58642,0.87199,0.0018805,0.000626832,0.0018805,0.000626832,0.0018805,0.000626832,0.0018805,0.000626832
27,13.3611,0.40162,2.57394,0.907,0.47957,0.9375,0.80452,0.78168,0.37667,1.48722,0.8743,0.00185576,0.000618586,0.00185576,0.000618586,0.00185576,0.000618586,0.00185576,0.000618586
28,13.8079,0.44553,2.40321,0.89971,0.96693,0.56941,0.82397,0.78655,0.36912,1.3978,0.87211,0.00183102,0.000610339,0.00183102,0.000610339,0.00183102,0.000610339,0.00183102,0.000610339
29,14.2561,0.41296,2.36121,0.89464,0.49286,0.77934,0.81288,0.76308,0.37644,1.31308,0.88253,0.00180628,0.000602092,0.00180628,0.000602092,0.00180628,0.000602092,0.00180628,0.000602092
30,14.6784,0.39647,2.22093,0.8899,0.51949,0.75101,0.81288,0.76308,0.3679,1.24499,0.88607,0.00178154,0.000593846,0.00178154,0.000593846,0.00178154,0.000593846,0.00178154,0.000593846
31,15.1191,0.36803,2.09558,0.86479,0.55774,0.8125,0.81804,0.76823,0.36953,1.18236,0.87803,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599,0.0017568,0.000585599
