trial_no,state_position,arm,drink,result,time_s,failure_mode,notes
1,top-left,right,tequila,success,64,,
2,top-left,right,tequila,success,66,,
3,top-left,right,tequila,success,88,,
4,top-left,right,tequila,success,79,,
5,top-left,right,tequila,success,62,,
6,top-left,right,tequila,success,57,,
7,top-left,right,tequila,failure,24,grasp miss/tip,gripper failed to seat; bottle nudged
8,top-left,right,tequila,success,79,,
9,top-left,right,tequila,failure,18,camera dropout,wrist camera stopped streaming
10,top-left,right,tequila,success,62,,
11,top-left,right,vodka,success,67,,
12,top-left,right,vodka,success,71,,
13,top-left,right,vodka,success,61,,
14,top-left,right,vodka,success,69,,
15,top-left,right,vodka,success,75,,
16,top-left,right,vodka,failure,20,detection/alignment,bottle not detected / lost at close range
17,top-left,right,vodka,failure,11,camera dropout,wrist camera stopped streaming
18,top-left,right,vodka,success,64,,
19,top-left,right,vodka,success,70,,
20,top-left,right,vodka,success,72,,
21,top-left,right,whiskey,success,57,,
22,top-left,right,whiskey,success,61,,
23,top-left,right,whiskey,success,70,,
24,top-left,right,whiskey,success,66,,
25,top-left,right,whiskey,success,65,,
26,top-left,right,whiskey,failure,26,grasp miss/tip,gripper failed to seat; bottle nudged
27,top-left,right,whiskey,success,69,,
28,top-left,right,whiskey,failure,48,pour/toss execution,arm lagged the toss trajectory under load
29,top-left,right,whiskey,success,70,,
30,top-left,right,whiskey,success,64,,
31,top-left,right,gin,failure,32,grasp miss/tip,gripper failed to seat; bottle nudged
32,top-left,right,gin,success,76,,
33,top-left,right,gin,failure,118,planning/timeout,MoveIt could not plan / exceeded 4 min
34,top-left,right,gin,success,73,,
35,top-left,right,gin,success,61,,
36,top-left,right,gin,success,77,,
37,top-left,right,gin,failure,25,grasp miss/tip,gripper failed to seat; bottle nudged
38,top-left,right,gin,success,63,,
39,top-left,right,gin,success,80,,
40,top-left,right,gin,success,77,,
41,top-middle,right,tequila,success,54,,
42,top-middle,right,tequila,success,66,,
43,top-middle,right,tequila,success,70,,
44,top-middle,right,tequila,success,47,,
45,top-middle,right,tequila,failure,56,pour/toss execution,arm lagged the toss trajectory under load
46,top-middle,right,tequila,success,52,,
47,top-middle,right,tequila,success,69,,
48,top-middle,right,tequila,success,78,,
49,top-middle,right,tequila,success,72,,
50,top-middle,right,tequila,failure,21,detection/alignment,bottle not detected / lost at close range
51,top-middle,right,vodka,success,67,,
52,top-middle,right,vodka,failure,97,planning/timeout,MoveIt could not plan / exceeded 4 min
53,top-middle,right,vodka,success,74,,
54,top-middle,right,vodka,success,66,,
55,top-middle,right,vodka,success,69,,
56,top-middle,right,vodka,success,54,,
57,top-middle,right,vodka,failure,56,pour/toss execution,arm lagged the toss trajectory under load
58,top-middle,right,vodka,success,69,,
59,top-middle,right,vodka,success,72,,
60,top-middle,right,vodka,success,75,,
61,top-middle,right,whiskey,success,74,,
62,top-middle,right,whiskey,failure,25,grasp miss/tip,gripper failed to seat; bottle nudged
63,top-middle,right,whiskey,success,59,,
64,top-middle,right,whiskey,success,77,,
65,top-middle,right,whiskey,success,74,,
66,top-middle,right,whiskey,success,70,,
67,top-middle,right,whiskey,success,77,,
68,top-middle,right,whiskey,success,60,,
69,top-middle,right,whiskey,success,71,,
70,top-middle,right,whiskey,failure,28,detection/alignment,bottle not detected / lost at close range
71,top-middle,right,gin,success,58,,
72,top-middle,right,gin,success,75,,
73,top-middle,right,gin,success,64,,
74,top-middle,right,gin,success,67,,
75,top-middle,right,gin,success,83,,
76,top-middle,right,gin,success,68,,
77,top-middle,right,gin,success,66,,
78,top-middle,right,gin,failure,50,pour/toss execution,arm lagged the toss trajectory under load
79,top-middle,right,gin,failure,26,detection/alignment,bottle not detected / lost at close range
80,top-middle,right,gin,failure,28,detection/alignment,bottle not detected / lost at close range
81,top-right,right,tequila,success,58,,
82,top-right,right,tequila,failure,22,detection/alignment,bottle not detected / lost at close range
83,top-right,right,tequila,failure,118,planning/timeout,MoveIt could not plan / exceeded 4 min
84,top-right,right,tequila,success,77,,
85,top-right,right,tequila,success,62,,
86,top-right,right,tequila,success,70,,
87,top-right,right,tequila,success,64,,
88,top-right,right,tequila,failure,40,grasp miss/tip,gripper failed to seat; bottle nudged
89,top-right,right,tequila,success,59,,
90,top-right,right,tequila,success,57,,
91,top-right,right,vodka,success,64,,
92,top-right,right,vodka,success,62,,
93,top-right,right,vodka,success,71,,
94,top-right,right,vodka,success,60,,
95,top-right,right,vodka,success,50,,
96,top-right,right,vodka,success,74,,
97,top-right,right,vodka,success,48,,
98,top-right,right,vodka,success,69,,
99,top-right,right,vodka,failure,19,detection/alignment,bottle not detected / lost at close range
100,top-right,right,vodka,failure,39,grasp miss/tip,gripper failed to seat; bottle nudged
101,top-right,right,whiskey,failure,26,detection/alignment,bottle not detected / lost at close range
